Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
2.012917   426.409075   1241.268376   2878.997167   3798.414937
2.019167   440.936139   1288.442484   2527.639069   3346.568395
2.025417   454.935166   1291.316824   2489.671295   3250.852062
2.031667   464.413395   1290.506857   2445.782378   3236.346779
2.037917   503.006652   1306.111565   2400.061804   3179.874542
2.044167   550.047040   1364.616635   2421.058814   3166.385074
2.050417   560.536316   1379.042120   2459.562355   3184.087105
2.056667   574.637355   1383.857950   2351.289517   3099.681591
2.062917   578.201508   1394.031942   2346.627618   3079.163263
2.069167   600.190917   1403.129062   2326.012578   3051.492854
2.075417   613.887289   1435.690904   2363.362726   3113.263850
2.081667   619.772231   1464.934884   2330.261581   3100.199045
2.087917   621.269417   1487.457016   2272.460677   3063.184237
2.094167   614.199631   1532.962482   2267.863606   3089.694964
2.100417   620.934992   1559.700362   2267.185120   3124.362596
2.106667   613.448997   1625.387114   2324.595001   3256.782880
2.112917   591.284043   1659.120678   2357.604829   3231.142654
2.119167   573.756780   1660.392243   2321.701280   3153.154953
2.125417   538.377188   1707.592576   2353.755126   3189.964477
2.131667   541.332444   1738.721926   2334.690829   3173.391554
2.137917   516.710493   1815.154877   2318.778179   3130.156807
2.144167   488.545967   1898.308179   2309.562925   3141.347589
2.150417   448.476012   1898.023919   2286.810337   3098.876939
2.156667   414.907933   2051.204753   2304.175507   3064.361006
2.162917   415.543008   2088.512513   2322.587112   3104.468313
2.169167   382.909042   2058.637845   2305.730898   3150.340462
2.175417   363.587055   2148.608956   2451.280460   3130.652664
2.181667   361.198496   2133.975996   2472.578359   3153.560825
2.187917   351.122533   2117.449980   2526.792190   3163.791689
2.194167   344.129131   2150.357397   2594.295245   3177.556108
2.200417   344.302324   2189.108585   2707.666540   3167.188469
2.206667   329.988515   2218.328508   3096.146488   4071.622199
2.212917   332.903842   2184.351865   3095.076362   4106.776660
2.219167   292.588591   1570.366315   2184.306140   3080.680588
2.225417   299.945467   1817.758044   2219.779334   3056.758717
2.231667   314.934063   2211.222191   3065.843463   4458.089856
2.237917   287.946119   2153.225845   2994.395158   4433.055959
2.244167   253.073399   1960.772208   2781.096280   4365.710406
2.250417   224.411077   1497.985312   1890.863689   3031.310156
2.256667   241.337589   1943.743177   1960.181809   3192.066790
2.262917   265.756061   2160.335250   2166.843918   3099.903117
2.269167   288.703084   2216.389259   3055.893287   4427.725103
2.275417   250.940784   2256.434212   3097.191732   4416.247110
2.281667   312.362547   2239.818024   3099.957742   4396.337442
2.287917   354.925414   2193.094611   3071.578929   3146.472474
2.294167   333.385076   2198.201201   3045.729908   3052.167304
2.300417   326.646146   2240.570293   3048.680584   4428.426643
2.306667   328.459494   2257.161091   3011.947243   4470.763979
2.312917   324.779288   2285.871951   3007.087756   4076.018273
2.319167   331.282876   2259.134468   3029.422441   3679.760274
2.325417   329.002953   2230.002413   3115.519767   3978.983649
2.331667   323.152634   2236.975450   2966.914838   3071.245491
2.337917   303.629343   2207.864912   2816.522264   3111.993611
2.344167   283.169323   2220.830215   2828.728895   3091.747348
2.350417   284.591533   2221.448592   2962.965211   3078.747340
2.356667   263.844486   2232.309965   2566.241404   3063.325344
2.362917   258.342605   2239.191616   2402.896685   3067.824855
2.369167   244.697913   2221.843678   2569.473491   3085.343549
2.375417   232.505291   2206.762374   2834.958967   3082.443929
2.381667   243.760034   2211.705525   2691.261386   3134.333932
2.387917   120.079758   230.540509   2245.093018   3212.858791
2.394167   227.007501   2290.458592   3188.910243   4624.055736
2.400417   255.253677   2441.115905   3170.385777   4628.022326
2.406667   250.785086   2514.586675   3086.935759   4722.153439
2.412917   208.662473   2248.904530   2959.194117   4390.253352
2.419167   221.153567   2223.917163   3117.581389   4430.178566
2.425417   245.314642   2214.689352   3076.155515   4619.218509
2.431667   242.653110   2186.139769   2980.941248   3213.912996
2.437917   276.230004   2174.981049   3005.533257   4530.142736
2.444167   292.239794   2227.237491   3006.957887   4617.101805
2.450417   286.478080   2256.414044   3008.467359   4581.883426
2.456667   294.852957   2204.507344   2907.811786   4532.020263
2.462917   280.732758   2219.355467   2961.058296   4479.422290
2.469167   280.304488   2240.691923   3008.389526   4467.267652
2.475417   244.441577   2204.297279   2996.912116   4387.726747
2.481667   217.946003   2049.011552   2996.462981   4310.273557
2.487917   221.363214   2047.300742   2866.887124   4083.099834
2.494167   208.438434   2124.229572   2859.953378   4283.555815
2.500417   218.209002   2104.887460   2858.352318   4283.092294
2.506667   146.095657   2199.995838   3104.469078   4013.281177
2.512917   1438.966555   2795.156315   3176.714898   4139.650895
2.519167   1174.219766   2566.474138   3140.519758   4068.739095
2.525417   583.706386   2406.995062   3236.681097   3887.998110
2.531667   510.175742   2494.095228   3435.178925   3769.940045
2.537917   506.151540   2797.706878   3409.035481   4033.910311
2.544167   549.555578   1858.173446   3014.704261   3588.702553
2.550417   519.380702   1784.765367   2965.112637   3592.972839
2.556667   411.839268   1976.446528   2952.762560   3635.590343
2.562917   344.824630   2472.240677   3244.873667   4068.827047
2.569167   325.172964   2342.370134   3084.506321   4418.153587
2.575417   321.756045   2205.862556   2992.366092   3542.912375
2.581667   319.388876   2175.192280   2994.942913   3220.369524
2.587917   311.402462   2170.054898   2883.622263   3265.306355
2.594167   319.144236   2152.600897   2878.336686   3246.270703
2.600417   312.591753   2147.072040   2895.451333   3247.872823
2.606667   303.764726   2130.272546   2831.561015   3243.584359
2.612917   302.561615   2131.431822   2836.356801   3258.484609
2.619167   280.041166   2118.486032   2818.885473   3237.089966
2.625417   272.524584   2126.864775   2826.600389   3215.237829
2.631667   277.262218   2124.529231   2798.106728   3236.134914
2.637917   261.671141   2138.891294   2813.388353   3214.854346
2.644167   267.502985   2131.227549   2791.369577   3195.741155
2.650417   263.878203   2175.236134   2844.681046   3054.078428
2.656667   268.916786   2226.930632   2830.004144   3020.477527
2.662917   277.849543   2217.265519   2933.635998   4430.223036
2.669167   271.258418   2260.943508   3153.536928   4468.948385
2.675417   293.759776   2270.916867   3229.824272   4461.314582
2.681667   277.838656   2341.575626   3046.499837   4511.874931
2.687917   265.724139   2343.352846   3002.059536   4532.438318
2.694167   270.372602   2441.445953   3130.724781   4552.013498
2.700417   282.452637   2394.188481   3106.895351   4358.633318
2.706667   289.419828   2404.365917   3122.699042   4183.904650
2.712917   340.023608   2319.437526   3056.571941   4216.903866
2.719167   339.653348   2337.424116   2942.887423   4272.115682
2.725417   346.436315   2290.197111   2948.666025   4363.425656
2.731667   336.911724   2376.132732   2998.519797   4397.993958
2.737917   309.665704   2281.927296   3045.579685   4337.396660
2.744167   292.630845   2244.765899   3056.175865   4331.670178
2.750417   253.602027   2203.074744   2917.736941   4343.135754
2.756667   213.068044   2156.174656   2904.375967   4377.637140
2.762917   208.591006   2224.824109   2929.289368   4264.155723
2.769167   205.760838   2229.251877   2972.870991   3918.676909
2.775417   200.178466   2236.150246   2975.680100   3666.590469
2.781667   212.117550   2168.767648   2913.580677   3329.213589
2.787917   218.470799   2138.640538   2954.020868   3993.191180
2.794167   232.751820   2173.513902   3028.379487   4151.472154
2.800417   217.306288   2139.799278   2998.177156   4187.551096
2.806667   223.800578   2095.216955   2913.701199   4089.008900
2.812917   222.114012   2027.993851   2917.768386   4088.359817
2.819167   216.291830   2022.957104   2999.458644   4265.244145
2.825417   227.912164   1965.103478   2871.611800   4246.113934
2.831667   207.647179   1839.622486   2830.940301   4044.300956
2.837917   557.406907   2146.200385   2752.370808   3776.457882
2.844167   572.446518   2117.773219   2748.593073   3674.854412
2.850417   506.597889   2189.574470   2779.236729   3534.660633
2.856667   510.627956   2481.039799   2941.243763   3241.733796
2.862917   501.644007   2495.669377   3128.362097   3229.419078
2.869167   693.675801   2434.571487   3319.562471   4913.890020
2.875417   562.414938   1836.803420   2548.223686   3425.489792
2.881667   491.200783   2663.165126   3407.404618   4100.301938
2.887917   421.577708   2584.643175   3276.028186   3897.022895
2.894167   395.155369   2622.372684   3360.214108   --undefined--
2.900417   835.487808   2635.829217   3309.971523   4382.758413
2.906667   503.007728   2566.394584   3371.584998   4191.383558
2.912917   472.326618   2587.149878   3335.844255   4146.874170
2.919167   475.889670   2591.045232   3211.115260   4053.196951
2.925417   431.174872   2546.675875   2721.507992   3929.829964
2.931667   429.089885   2520.899859   2821.197138   3557.996814
2.937917   515.321572   2531.176291   2958.463748   3452.387741
